earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-30,AMC,0.52,0.65
2020-10-29,AMC,0.7,0.73
2021-01-27,AMC,1.42,1.68
2021-04-28,AMC,0.98,1.4
2021-07-27,AMC,1.01,1.3
2021-10-28,AMC,1.24,1.24
2022-01-27,AMC,1.89,2.1
2022-04-28,AMC,1.43,1.52
2022-07-28,AMC,1.15,1.2
2022-10-27,AMC,1.27,1.29
2023-02-02,AMC,1.95,1.88
2023-05-04,AMC,1.43,1.52
2023-08-03,AMC,1.19,1.26
2023-11-02,AMC,1.39,1.46
2024-02-01,AMC,2.1,2.18
2024-05-02,AMC,1.51,1.53
2024-08-01,AMC,1.34,1.4
2024-10-31,AMC,0.95,0.97
2025-01-30,AMC,2.35,2.4
2025-05-01,AMC,1.62,1.65
2025-07-31,AMC,1.43,1.57
2025-10-30,AMC,1.77,1.85
2026-01-29,AMC,2.67,2.84
2026-04-30,AMC,1.94,2.01
2026-07-30,AMC,1.89,
