earnings_date,time_of_day,eps_estimate,eps_actual
2020-09-15,AMC,2.41,2.57
2020-12-10,BMO,2.66,2.81
2021-03-23,AMC,2.79,3.14
2021-06-17,AMC,2.82,3.03
2021-09-21,AMC,3.02,3.11
2021-12-16,BMO,3.2,3.2
2022-03-22,AMC,3.34,3.37
2022-06-16,AMC,3.31,3.35
2022-09-15,BMO,3.34,3.4
2022-12-15,AMC,3.5,3.6
2023-03-15,AMC,3.68,3.8
2023-06-15,AMC,3.79,3.91
2023-09-14,AMC,3.98,4.1
2023-12-13,AMC,4.14,4.27
2024-03-14,AMC,4.38,4.48
2024-06-13,AMC,4.4,4.48
2024-09-12,AMC,4.54,4.65
2024-12-11,AMC,4.67,4.81
2025-03-12,AMC,4.97,5.08
2025-06-12,AMC,4.97,5.06
2025-09-11,AMC,5.18,5.31
2025-12-10,AMC,5.4,5.5
2026-03-12,AMC,5.87,6.06
2026-06-11,AMC,5.81,5.96
2026-09-10,AMC,6.08,
