earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-28,AMC,0.17,0.18
2020-10-27,BMO,0.36,0.41
2021-01-26,AMC,0.48,0.52
2021-04-27,AMC,0.44,0.52
2021-07-27,AMC,0.54,0.63
2021-10-26,AMC,0.66,0.73
2022-02-01,AMC,0.76,0.92
2022-05-03,AMC,0.92,1.13
2022-08-02,AMC,1.04,1.05
2022-11-01,AMC,0.7,0.67
2023-01-31,AMC,0.67,0.69
2023-05-02,AMC,0.56,0.6
2023-08-01,AMC,0.57,0.58
2023-10-31,AMC,0.68,0.7
2024-01-30,AMC,0.77,0.77
2024-04-30,AMC,0.61,0.62
2024-07-30,AMC,0.68,0.69
2024-10-29,AMC,0.92,0.92
2025-02-04,AMC,1.09,1.09
2025-05-06,AMC,0.93,0.96
2025-08-05,AMC,0.48,0.48
2025-11-04,AMC,1.17,1.2
2026-02-03,AMC,1.32,1.53
2026-05-05,AMC,1.29,1.37
2026-08-04,AMC,1.61,
