earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-30,AMC,0.08,0.52
2020-10-29,AMC,0.38,0.62
2021-02-02,AMC,0.35,0.7
2021-04-29,AMC,0.47,0.79
2021-07-29,AMC,0.61,0.76
2021-10-28,AMC,0.44,0.31
2022-02-03,AMC,0.18,1.39
2022-04-28,AMC,0.42,-0.38
2022-07-28,AMC,0.12,-0.2
2022-10-27,AMC,0.21,0.28
2023-02-02,AMC,0.17,0.03
2023-04-27,AMC,0.21,0.31
2023-08-03,AMC,0.34,0.65
2023-10-26,AMC,0.58,0.94
2024-02-01,AMC,0.8,1.0
2024-04-30,AMC,0.83,0.98
2024-08-01,AMC,1.02,1.26
2024-10-31,AMC,1.14,1.43
2025-02-06,AMC,1.48,1.86
2025-05-01,AMC,1.36,1.59
2025-07-31,AMC,1.32,1.68
2025-10-30,AMC,1.56,1.95
2026-02-05,AMC,1.95,1.95
2026-04-29,AMC,1.64,2.78
2026-07-30,AMC,1.81,
