earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-24,BMO,-0.06,0.29
2020-10-23,BMO,1.35,1.3
2021-01-26,BMO,1.3,1.76
2021-04-23,BMO,1.61,2.74
2021-07-23,BMO,1.63,2.8
2021-10-22,BMO,1.75,2.27
2022-01-25,BMO,1.84,2.18
2022-04-22,BMO,2.47,2.73
2022-07-22,BMO,2.41,2.57
2022-10-21,AMC,2.41,2.47
2023-01-27,BMO,2.24,2.07
2023-04-20,BMO,2.67,2.4
2023-07-21,BMO,2.82,2.89
2023-10-20,BMO,2.95,3.3
2024-01-26,BMO,2.65,2.62
2024-04-19,BMO,2.98,3.33
2024-07-19,BMO,3.26,4.15
2024-10-18,BMO,3.28,3.49
2025-01-24,BMO,3.03,3.04
2025-04-17,BMO,3.47,3.64
2025-07-18,BMO,3.88,4.08
2025-10-17,BMO,3.98,4.14
2026-01-30,BMO,3.55,3.53
2026-04-23,BMO,3.99,4.28
2026-07-24,BMO,4.4,
