earnings_date,time_of_day,eps_estimate,eps_actual
2022-03-17,AMC,-0.02,-1.02
2022-05-09,AMC,-0.04,-0.06
2022-08-09,AMC,-0.07,-0.1
2022-11-09,AMC,-0.09,-0.08
2023-03-13,AMC,-0.08,-0.06
2023-05-09,AMC,-0.06,-0.07
2023-08-08,AMC,-0.06,-0.06
2023-11-07,AMC,-0.06,-0.03
2024-03-07,AMC,-0.05,-0.01
2024-05-02,AMC,-0.06,-0.04
2024-08-01,AMC,-0.06,-0.04
2024-11-05,AMC,-0.07,-0.02
2025-03-06,AMC,-0.05,-0.43
2025-05-01,AMC,-0.06,-0.25
2025-08-11,AMC,-0.06,-0.71
2025-11-10,AMC,-0.07,0.01
2026-03-02,AMC,-0.06,-0.01
2026-05-05,AMC,-0.08,-0.12
2026-07-30,AMC,-0.04,
