earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-28,AMC,-0.29,-0.23
2020-10-29,AMC,-0.14,-0.04
2021-02-10,AMC,,-0.08
2021-05-05,AMC,-0.08,-0.07
2021-08-04,AMC,-0.05,-0.23
2021-11-04,AMC,-0.09,-0.2
2022-02-10,AMC,-0.04,-0.05
2022-05-05,AMC,-0.11,-0.32
2022-08-09,AMC,-0.18,-0.32
2022-11-03,AMC,-0.09,-0.2
2023-02-09,AMC,0.11,0.27
2023-05-09,AMC,-0.21,-0.22
2023-08-03,AMC,-0.14,-0.17
2023-11-08,AMC,-0.04,0.15
2024-02-15,AMC,0.1,0.07
2024-05-08,AMC,-0.11,-0.17
2024-08-08,AMC,-0.05,-0.06
2024-11-07,AMC,0.08,-0.01
2025-02-27,AMC,0.31,0.43
2025-04-30,AMC,-0.06,0.03
2025-07-31,AMC,0.02,0.1
2025-10-28,AMC,0.1,0.15
2026-02-05,AMC,0.3,0.45
2026-04-28,AMC,0.13,0.44
2026-07-28,AMC,0.41,
