earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-29,AMC,-1.1,-1.13
2020-10-29,AMC,-0.37,-0.33
2021-02-17,AMC,-0.05,-0.32
2021-04-28,AMC,-0.06,0.2
2021-07-27,AMC,0.78,0.8
2021-11-03,AMC,0.7,0.65
2022-02-16,AMC,0.58,0.49
2022-04-27,AMC,0.51,0.47
2022-07-27,AMC,0.77,0.52
2022-11-01,AMC,0.29,-0.03
2023-02-22,AMC,0.59,0.56
2023-05-10,AMC,0.59,0.61
2023-08-02,AMC,0.82,0.88
2023-11-01,AMC,0.42,0.39
2024-02-21,AMC,0.73,0.8
2024-05-08,AMC,0.64,0.73
2024-07-31,AMC,1.0,1.09
2024-10-29,AMC,0.49,0.58
2025-02-19,AMC,0.92,1.04
2025-04-30,AMC,0.82,0.93
2025-07-29,AMC,1.06,1.16
2025-10-28,AMC,0.6,0.68
2026-02-18,AMC,0.99,1.0
2026-04-29,AMC,1.01,1.05
2026-07-28,AMC,1.15,
