earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-29,BMO,-0.05,-0.16
2020-11-04,BMO,-0.05,-0.2
2021-02-10,BMO,-0.05,0.12
2021-05-07,BMO,-0.1,-0.07
2021-07-28,BMO,-0.06,-0.1
2021-10-29,BMO,-0.04,-0.14
2022-02-09,BMO,0.01,0.06
2022-05-05,BMO,-0.02,0.04
2022-07-27,BMO,0.02,0.18
2022-10-27,BMO,-0.01,0.03
2023-02-09,BMO,0.05,0.09
2023-04-28,BMO,0.22,0.27
2023-08-02,BMO,0.13,-0.01
2023-10-31,BMO,0.13,0.32
2024-02-08,BMO,0.25,0.21
2024-04-30,BMO,0.34,0.13
2024-07-31,BMO,0.26,0.14
2024-11-07,BMO,0.25,-0.01
2025-02-20,BMO,0.32,0.36
2025-05-01,BMO,0.19,0.16
2025-07-31,BMO,0.52,0.71
2025-11-05,BMO,0.27,0.07
2026-02-13,BMO,0.44,0.5
2026-05-05,BMO,0.34,0.47
2026-07-31,BMO,0.38,
