earnings_date,time_of_day,eps_estimate,eps_actual
2022-02-25,AMC,1.19,1.19
2022-05-12,BMO,1.01,1.81
2022-08-04,BMO,0.64,1.66
2022-11-08,BMO,0.77,0.54
2023-02-16,BMO,0.27,0.17
2023-05-04,BMO,0.95,0.39
2023-08-03,BMO,0.78,1.45
2023-11-06,BMO,1.67,1.99
2024-02-27,BMO,2.17,1.51
2024-05-09,BMO,1.29,1.82
2024-08-06,BMO,1.69,1.68
2024-11-04,BMO,2.68,2.74
2025-02-18,BMO,2.14,2.44
2025-05-06,BMO,2.21,2.14
2025-08-07,BMO,1.83,1.91
2025-11-07,BMO,3.12,3.04
2026-02-24,BMO,2.25,2.3
2026-05-11,BMO,2.6,2.74
2026-08-06,BMO,2.41,
