earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-06,BMO,,
2020-11-12,BMO,,0.02
2021-03-11,BMO,0.01,0.01
2021-05-13,BMO,0.01,
2021-08-12,BMO,0.01,0.02
2021-11-11,BMO,0.02,0.01
2022-03-01,AMC,0.01,0.05
2022-05-10,AMC,0.01,0.03
2022-08-09,AMC,0.03,0.04
2022-11-09,AMC,0.03,-0.14
2023-03-01,AMC,0.02,0.01
2023-05-09,AMC,0.07,0.14
2023-08-08,AMC,0.09,0.2
2023-11-07,BMO,0.16,0.3
2024-02-29,BMO,0.18,0.15
2024-05-07,BMO,0.19,0.27
2024-08-06,BMO,0.25,0.28
2024-11-06,BMO,0.01,
2025-02-20,AMC,0.1,0.14
2025-05-06,BMO,0.19,0.18
2025-08-07,BMO,0.24,0.47
2025-11-06,BMO,0.28,0.42
2026-02-26,BMO,0.19,0.26
2026-05-07,BMO,0.29,0.41
2026-08-10,BMO,0.43,
