earnings_date,time_of_day,eps_estimate,eps_actual
2021-05-13,AMC,3.2,3.05
2021-08-10,AMC,2.69,6.78
2021-11-09,AMC,1.72,1.85
2022-02-24,AMC,2.25,3.35
2022-05-10,AMC,0.91,-1.25
2022-08-09,AMC,-1.23,-2.43
2022-11-03,AMC,-1.47,-2.15
2023-02-21,AMC,-1.41,-2.65
2023-05-04,AMC,-1.76,-0.34
2023-08-03,AMC,-0.76,-0.42
2023-11-02,AMC,-0.53,-0.01
2024-02-15,AMC,0.2,1.04
2024-05-02,AMC,1.27,4.4
2024-08-01,AMC,0.8,0.14
2024-10-30,AMC,0.42,0.28
2025-02-13,AMC,2.04,4.68
2025-05-08,AMC,1.9,0.24
2025-07-31,AMC,1.49,5.14
2025-10-30,AMC,1.13,1.5
2026-02-12,AMC,0.94,-2.49
2026-05-07,AMC,0.04,-1.49
2026-07-30,AMC,,
