earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-25,AMC,0.67,1.44
2020-12-01,AMC,0.75,1.74
2021-02-25,AMC,0.75,1.04
2021-05-27,AMC,0.88,1.21
2021-08-25,AMC,0.93,1.48
2021-11-30,AMC,0.92,1.27
2022-03-01,AMC,0.75,0.84
2022-05-31,AMC,0.94,0.98
2022-08-24,AMC,1.03,1.19
2022-11-30,AMC,1.22,1.4
2023-03-01,AMC,1.36,1.68
2023-05-31,AMC,1.61,1.69
2023-08-30,AMC,1.9,2.12
2023-11-29,AMC,2.06,2.11
2024-02-28,AMC,2.27,2.29
2024-05-29,AMC,2.37,2.44
2024-08-28,AMC,2.36,2.56
2024-12-03,AMC,2.45,2.41
2025-02-26,AMC,2.61,2.78
2025-05-28,AMC,2.55,2.58
2025-09-03,AMC,2.78,2.91
2025-12-03,AMC,2.86,3.25
2026-02-25,AMC,3.05,3.81
2026-05-27,AMC,3.13,3.88
2026-09-02,AMC,3.27,
