earnings_date,time_of_day,eps_estimate,eps_actual
2020-09-01,AMC,,0.01
2020-12-02,AMC,,0.02
2021-03-16,AMC,0.02,0.03
2021-06-03,AMC,0.01,0.03
2021-08-31,AMC,0.02,0.03
2021-12-01,AMC,0.02,0.04
2022-03-09,AMC,0.05,0.08
2022-06-02,AMC,0.06,0.08
2022-08-30,AMC,0.07,0.09
2022-11-29,AMC,0.08,0.1
2023-03-07,AMC,0.11,0.12
2023-05-31,AMC,0.13,0.14
2023-08-30,AMC,0.14,0.19
2023-11-28,AMC,0.18,0.21
2024-03-05,AMC,0.21,0.24
2024-06-04,AMC,0.22,0.23
2024-08-28,AMC,0.24,0.26
2024-11-26,AMC,0.2,0.23
2025-03-04,AMC,0.21,0.26
2025-06-03,AMC,0.16,0.18
2025-08-27,AMC,0.21,0.23
2025-12-02,AMC,0.24,0.24
2026-03-03,AMC,0.28,0.28
2026-06-03,AMC,0.27,0.28
2026-09-01,AMC,0.29,
