earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-31,BMO,-0.92,-1.59
2020-10-30,BMO,-0.27,0.11
2021-01-29,BMO,0.09,-0.01
2021-04-30,BMO,0.94,0.9
2021-07-30,BMO,1.6,1.71
2021-10-29,BMO,2.19,2.96
2022-01-28,BMO,3.12,2.56
2022-04-29,BMO,3.45,3.36
2022-07-29,BMO,5.03,5.82
2022-10-28,BMO,4.92,5.56
2023-01-27,BMO,4.3,4.09
2023-04-28,BMO,3.38,3.55
2023-07-23,AMC,2.98,3.08
2023-10-27,BMO,3.68,3.05
2024-02-02,BMO,3.22,3.45
2024-04-26,BMO,2.91,2.93
2024-08-02,BMO,3.0,2.55
2024-11-01,BMO,2.42,2.51
2025-01-31,BMO,2.11,2.06
2025-05-02,BMO,2.15,2.18
2025-08-01,BMO,1.74,1.77
2025-10-31,BMO,1.71,1.85
2026-01-30,BMO,1.44,1.52
2026-05-01,BMO,0.97,1.41
2026-07-31,BMO,5.23,
