earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-20,BMO,-0.17,-0.53
2020-11-02,BMO,0.9,1.44
2021-02-05,BMO,1.69,2.61
2021-05-03,BMO,1.32,1.62
2021-08-19,BMO,0.5,0.78
2021-11-02,BMO,1.7,1.89
2022-02-03,BMO,2.64,3.01
2022-05-03,BMO,1.67,1.9
2022-08-18,BMO,0.37,0.42
2022-11-02,BMO,1.31,1.37
2023-02-02,BMO,1.29,1.54
2023-05-03,BMO,0.51,0.47
2023-08-18,BMO,-0.04,0.07
2023-11-01,BMO,-0.2,0.11
2024-02-05,BMO,0.56,0.88
2024-05-01,BMO,0.5,0.97
2024-08-19,BMO,0.25,0.64
2024-10-31,BMO,0.1,0.14
2025-02-04,BMO,0.32,0.62
2025-05-01,BMO,0.31,0.65
2025-08-20,BMO,0.09,0.09
2025-10-30,BMO,0.18,0.32
2026-02-05,BMO,0.83,0.89
2026-05-01,BMO,0.65,0.91
2026-08-19,BMO,0.32,
