earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-05,AMC,0.04,0.17
2020-11-04,AMC,0.13,0.16
2021-02-03,AMC,0.24,0.22
2021-05-26,AMC,0.09,0.16
2021-08-04,AMC,0.14,0.27
2021-11-03,AMC,0.12,0.21
2022-02-02,AMC,0.15,0.24
2022-05-25,AMC,0.06,0.13
2022-08-03,AMC,0.24,0.39
2022-11-02,AMC,0.16,0.36
2023-02-01,AMC,0.23,0.48
2023-05-24,AMC,0.2,0.42
2023-08-01,AMC,0.57,1.1
2023-11-01,AMC,0.53,0.82
2024-02-06,AMC,0.56,0.74
2024-05-22,AMC,0.33,0.53
2024-08-08,AMC,0.84,1.1
2024-11-06,AMC,0.43,0.77
2025-02-06,AMC,0.76,0.74
2025-05-28,AMC,0.72,0.78
2025-08-06,AMC,0.84,0.89
2025-11-05,AMC,0.57,0.68
2026-02-04,AMC,0.72,1.24
2026-05-20,AMC,0.29,0.32
2026-08-05,AMC,0.72,
