earnings_date,time_of_day,eps_estimate,eps_actual
2020-10-22,BMO,0.21,0.29
2021-01-26,BMO,0.4,0.39
2021-04-22,BMO,0.51,0.51
2021-07-22,BMO,0.75,0.77
2021-10-21,BMO,0.81,0.89
2022-01-26,BMO,0.94,0.96
2022-04-21,BMO,0.92,1.07
2022-07-21,BMO,0.65,0.58
2022-10-20,BMO,0.27,0.26
2023-01-25,BMO,0.47,0.52
2023-04-21,BMO,0.45,0.52
2023-07-20,BMO,0.36,0.35
2023-10-19,BMO,0.34,0.39
2024-01-24,BMO,0.23,0.27
2024-04-23,BMO,0.28,0.32
2024-07-23,BMO,0.38,0.46
2024-10-22,BMO,0.37,0.38
2025-01-23,BMO,0.22,0.31
2025-04-24,BMO,0.23,0.24
2025-07-23,BMO,0.44,0.54
2025-10-23,BMO,0.41,0.5
2026-01-22,BMO,0.32,0.47
2026-04-23,BMO,0.47,0.57
2026-07-23,BMO,0.62,0.74
2026-10-22,BMO,0.7,
