earnings_date,time_of_day,eps_estimate,eps_actual
2020-11-10,AMC,-0.47,-1.65
2021-03-02,AMC,-0.66,-2.29
2021-05-11,AMC,-0.47,-0.59
2021-08-10,AMC,-0.49,-0.38
2021-11-09,AMC,-0.5,-0.59
2022-02-23,AMC,-0.56,-0.57
2022-05-05,AMC,-0.53,-0.89
2022-08-04,AMC,-0.57,-0.45
2022-11-04,BMO,-0.62,-0.52
2023-02-27,BMO,-0.57,-0.39
2023-05-05,BMO,-0.38,-0.27
2023-08-04,BMO,-0.24,-0.12
2023-11-03,BMO,-0.27,-0.22
2024-03-01,BMO,-0.24,-0.17
2024-05-03,BMO,-0.15,-0.11
2024-08-06,BMO,-0.08,-0.04
2024-11-01,BMO,-0.12,-0.08
2025-02-28,BMO,-0.11,-0.02
2025-05-02,BMO,-0.03,-0.02
2025-08-08,BMO,-0.03,-0.02
2025-11-03,BMO,-0.04,0.02
2026-02-03,BMO,0.18,-1.59
2026-02-27,BMO,,
2026-05-06,BMO,-0.22,-0.32
2026-08-06,BMO,-0.11,
