earnings_date,time_of_day,eps_estimate,eps_actual
2020-10-29,AMC,0.56,0.82
2021-02-02,AMC,0.8,1.12
2021-04-27,AMC,0.78,1.31
2021-07-27,AMC,0.96,1.36
2021-10-26,AMC,1.16,1.4
2022-02-01,AMC,1.36,1.53
2022-04-26,AMC,1.28,1.23
2022-07-26,AMC,1.29,1.21
2022-10-25,AMC,1.26,1.06
2023-02-02,AMC,1.2,1.05
2023-04-25,AMC,1.07,1.17
2023-07-25,AMC,1.34,1.44
2023-10-24,AMC,1.45,1.55
2024-01-30,AMC,1.6,1.64
2024-04-25,AMC,1.51,1.89
2024-07-23,AMC,1.84,1.89
2024-10-29,AMC,1.85,2.12
2025-02-04,AMC,2.13,2.15
2025-04-24,AMC,2.01,2.81
2025-07-23,AMC,2.2,2.31
2025-10-29,AMC,2.26,2.87
2026-02-04,AMC,2.64,2.82
2026-04-29,AMC,2.63,5.11
2026-07-22,AMC,2.91,9.11
2026-10-28,AMC,3.01,
