earnings_date,time_of_day,eps_estimate,eps_actual
2021-03-18,AMC,-0.06,-0.05
2021-05-17,BMO,-0.07,-0.28
2021-08-11,AMC,-0.06,-0.09
2021-11-10,AMC,-0.06,-0.1
2022-02-22,AMC,-0.06,-0.1
2022-05-09,AMC,-0.06,-0.08
2022-08-08,AMC,-0.06,-0.1
2022-11-07,AMC,-0.06,-0.09
2023-02-27,AMC,-0.06,-0.05
2023-05-08,AMC,0.02,0.03
2023-08-07,AMC,0.03,0.05
2023-11-06,AMC,0.05,0.06
2024-02-26,AMC,0.06,0.05
2024-05-06,AMC,0.08,0.1
2024-08-05,AMC,0.13,0.16
2024-11-04,AMC,0.15,0.43
2025-02-24,AMC,0.22,0.23
2025-05-05,AMC,0.23,0.28
2025-08-04,AMC,0.23,0.29
2025-11-03,AMC,0.23,0.28
2026-02-23,AMC,0.19,0.22
2026-05-11,AMC,0.13,-0.19
2026-08-10,AMC,-0.05,
