earnings_date,time_of_day,eps_estimate,eps_actual
2021-06-16,AMC,-0.06,-0.05
2021-08-13,BMO,-0.19,-0.23
2021-11-10,AMC,-0.06,-0.06
2022-03-24,AMC,-0.07,-0.1
2022-05-13,BMO,-0.15,-0.16
2022-08-12,BMO,-0.09,-0.11
2022-11-10,BMO,-0.08,-0.13
2023-03-16,BMO,-0.04,-0.07
2023-05-09,BMO,-0.12,-0.2
2023-08-08,AMC,-0.12,-0.12
2023-11-08,AMC,-0.1,-0.06
2024-03-06,AMC,-0.07,0.02
2024-05-08,AMC,-0.08,-0.01
2024-08-08,AMC,-0.05,-0.02
2024-11-12,AMC,-0.05,0.04
2025-02-26,AMC,-0.01,0.06
2025-05-07,AMC,0.02,0.04
2025-08-06,AMC,0.04,0.04
2025-11-05,AMC,,0.01
2026-02-25,AMC,0.02,0.01
2026-05-06,AMC,0.01,0.01
2026-08-05,AMC,0.01,
