earnings_date,time_of_day,eps_estimate,eps_actual
2021-08-18,AMC,-0.26,0.18
2021-10-26,AMC,0.1,-0.07
2022-01-27,AMC,-0.44,-0.49
2022-04-28,AMC,-0.35,-0.45
2022-08-02,AMC,-0.33,-0.31
2022-11-02,AMC,-0.31,-0.2
2023-02-08,AMC,-0.08,-0.13
2023-05-10,AMC,0.08,0.1
2023-08-02,AMC,0.12,0.15
2023-11-07,AMC,0.12,0.11
2024-02-13,AMC,0.07,0.13
2024-05-08,AMC,0.06,0.18
2024-08-07,AMC,0.26,0.3
2024-10-30,AMC,0.26,0.26
2025-02-12,AMC,0.52,1.04
2025-04-30,AMC,0.37,0.44
2025-07-30,AMC,0.31,0.42
2025-11-05,AMC,0.54,0.61
2026-02-10,AMC,0.68,0.73
2026-04-28,AMC,0.43,0.47
2026-07-29,AMC,0.42,
