earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-30,BMO,1.18,1.36
2020-10-28,BMO,1.66,1.6
2021-01-28,BMO,1.52,1.64
2021-04-29,BMO,1.56,1.74
2021-07-29,BMO,1.75,1.95
2021-10-28,BMO,2.19,2.37
2022-01-27,BMO,2.21,2.35
2022-04-28,BMO,2.16,2.76
2022-07-28,BMO,2.36,2.56
2022-10-27,BMO,2.57,2.68
2023-01-26,BMO,2.58,2.65
2023-04-27,BMO,2.71,2.8
2023-07-27,BMO,2.83,2.89
2023-10-26,BMO,3.21,3.39
2024-01-31,BMO,3.08,3.18
2024-05-01,BMO,3.24,3.31
2024-07-31,BMO,3.51,3.59
2024-10-31,BMO,3.75,3.89
2025-01-30,BMO,3.69,3.82
2025-05-01,BMO,3.56,3.73
2025-07-31,BMO,4.02,4.15
2025-10-30,BMO,4.31,4.38
2026-01-29,BMO,4.24,4.76
2026-04-30,BMO,4.41,4.6
2026-07-30,BMO,4.77,
