earnings_date,time_of_day,eps_estimate,eps_actual
2017-05-15,AMC,-1.44,-2.08
2017-08-14,AMC,-1.44,-1.44
2021-03-16,BMO,-0.01,-0.1
2021-05-10,AMC,0.02,0.87
2021-08-13,BMO,0.1,-0.93
2021-11-10,BMO,0.32,0.85
2022-03-01,AMC,0.36,0.36
2022-05-04,AMC,0.22,-0.02
2022-08-08,AMC,-0.07,-2.23
2022-11-08,AMC,-0.18,-0.31
2023-03-16,AMC,-0.17,-0.25
2023-05-10,AMC,-0.11,-0.04
2023-08-08,AMC,-0.08,-0.1
2023-11-08,AMC,-0.19,-0.07
2024-02-28,AMC,0.02,-0.04
2024-05-09,AMC,0.87,1.32
2024-08-01,AMC,0.09,-0.7
2024-11-12,AMC,-0.29,-0.2
2025-02-26,AMC,-0.08,1.27
2025-05-08,AMC,0.72,-1.58
2025-07-29,AMC,-0.28,1.94
2025-11-04,AMC,0.35,0.37
2026-02-26,AMC,-0.02,-0.77
2026-05-11,AMC,-0.85,-0.63
2026-08-06,AMC,-0.43,
