earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-30,AMC,1.4,1.8
2020-10-29,AMC,1.91,2.4
2021-01-27,AMC,3.24,3.88
2021-04-28,AMC,2.35,3.3
2021-07-28,AMC,3.06,3.61
2021-10-25,AMC,3.17,3.22
2022-02-02,AMC,3.83,3.67
2022-04-27,AMC,2.53,2.72
2022-07-27,AMC,2.55,2.46
2022-10-26,AMC,1.85,1.64
2023-02-01,AMC,2.24,1.76
2023-04-26,AMC,1.98,2.2
2023-07-26,AMC,2.91,2.98
2023-10-25,AMC,3.6,4.39
2024-02-01,AMC,4.94,5.33
2024-04-24,AMC,4.36,4.71
2024-07-31,AMC,4.76,5.16
2024-10-30,AMC,5.3,6.03
2025-01-29,AMC,6.74,8.02
2025-04-30,AMC,5.21,6.43
2025-07-30,AMC,5.86,7.14
2025-10-29,AMC,6.67,7.25
2026-01-28,AMC,8.22,8.88
2026-04-29,AMC,6.82,7.31
2026-07-29,AMC,7.2,
