earnings_date,time_of_day,eps_estimate,eps_actual
2021-08-17,BMO,-1.0,-0.26
2021-11-10,BMO,-0.6,-0.26
2022-02-23,BMO,-0.52,-0.26
2022-05-16,BMO,-1.01,-0.96
2022-08-08,BMO,-0.75,-0.33
2022-11-14,BMO,-0.54,0.05
2023-02-13,BMO,-0.36,0.44
2023-05-15,BMO,-0.29,0.14
2023-08-14,BMO,0.21,0.41
2023-11-13,BMO,0.21,0.64
2024-02-12,BMO,0.32,0.65
2024-05-15,BMO,0.4,0.61
2024-08-12,BMO,0.56,0.94
2024-11-11,BMO,0.63,0.85
2025-02-10,BMO,0.79,1.08
2025-05-12,BMO,0.7,1.1
2025-08-11,BMO,0.86,1.09
2025-11-10,BMO,0.88,1.16
2026-02-09,BMO,0.92,1.04
2026-05-11,BMO,0.93,1.15
2026-08-10,BMO,1.11,
