earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-22,AMC,1.37,1.46
2020-10-27,AMC,1.55,1.82
2021-01-26,AMC,1.64,2.03
2021-04-27,AMC,1.78,1.95
2021-07-27,AMC,1.93,2.17
2021-10-26,AMC,2.08,2.27
2022-01-25,AMC,2.32,2.48
2022-04-26,AMC,2.2,2.22
2022-07-26,AMC,2.29,2.23
2022-10-25,AMC,2.31,2.35
2023-01-24,AMC,2.32,2.32
2023-04-25,AMC,2.23,2.45
2023-07-25,AMC,2.55,2.69
2023-10-24,AMC,2.65,2.99
2024-01-30,AMC,2.77,2.93
2024-04-25,AMC,2.84,2.94
2024-07-30,AMC,2.94,2.95
2024-10-30,AMC,3.11,3.3
2025-01-29,AMC,3.12,3.23
2025-04-30,AMC,3.22,3.46
2025-07-30,AMC,3.38,3.65
2025-10-29,AMC,3.66,4.13
2026-01-28,AMC,3.92,4.14
2026-04-29,AMC,4.07,4.27
2026-07-29,AMC,4.24,
