earnings_date,time_of_day,eps_estimate,eps_actual
2020-09-22,AMC,0.48,0.95
2020-12-18,AMC,0.62,0.78
2021-03-18,AMC,0.75,0.9
2021-06-24,AMC,0.51,0.93
2021-09-23,AMC,1.12,1.16
2021-12-20,AMC,0.63,0.83
2022-03-21,AMC,0.72,0.87
2022-06-27,AMC,0.81,0.9
2022-09-29,AMC,0.92,0.93
2022-12-20,AMC,0.66,0.85
2023-03-21,AMC,0.54,0.79
2023-06-29,AMC,0.68,0.66
2023-09-28,AMC,0.76,0.94
2023-12-21,AMC,0.85,1.03
2024-03-21,AMC,0.76,0.98
2024-06-27,AMC,0.83,0.99
2024-10-01,AMC,0.52,0.7
2024-12-19,AMC,0.63,0.78
2025-03-20,AMC,0.29,0.54
2025-06-26,AMC,0.12,0.14
2025-09-30,AMC,0.27,0.49
2025-12-18,AMC,0.38,0.53
2026-03-31,AMC,0.28,0.35
2026-06-30,AMC,0.13,0.72
2026-09-29,AMC,0.45,
