earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-29,AMC,0.2,0.25
2020-10-28,AMC,0.21,0.24
2021-01-27,AMC,0.21,0.23
2021-04-28,AMC,0.27,0.3
2021-07-28,AMC,0.24,0.28
2021-10-27,AMC,0.28,0.31
2022-01-26,AMC,0.29,0.29
2022-04-27,AMC,0.34,0.35
2022-07-27,AMC,0.31,0.32
2022-10-26,AMC,0.37,0.39
2023-01-25,AMC,0.4,0.46
2023-04-26,AMC,0.41,0.47
2023-07-26,AMC,0.41,0.47
2023-10-25,AMC,0.51,0.58
2024-01-24,AMC,0.56,0.62
2024-04-24,AMC,0.63,0.68
2024-07-24,AMC,0.57,0.63
2024-10-23,AMC,0.69,0.74
2025-01-29,AMC,0.73,0.73
2025-04-23,AMC,0.77,0.81
2025-07-23,AMC,0.71,0.82
2025-10-29,AMC,0.85,0.96
2026-01-28,AMC,0.89,0.92
2026-04-22,AMC,0.97,0.97
2026-07-22,AMC,0.86,
