earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-19,AMC,0.05,0.05
2020-11-18,AMC,0.06,0.07
2021-02-24,AMC,0.07,0.08
2021-05-26,AMC,0.08,0.09
2021-08-18,AMC,0.1,0.1
2021-11-17,AMC,0.11,0.12
2022-02-16,AMC,0.12,0.13
2022-05-25,AMC,0.13,0.14
2022-08-24,AMC,0.05,0.05
2022-11-16,AMC,0.07,0.06
2023-02-22,AMC,0.08,0.09
2023-05-24,AMC,0.09,0.11
2023-08-23,AMC,0.21,0.27
2023-11-21,AMC,0.34,0.4
2024-02-21,AMC,0.46,0.52
2024-05-22,AMC,0.56,0.61
2024-08-28,AMC,0.64,0.68
2024-11-20,AMC,0.75,0.81
2025-02-26,AMC,0.85,0.89
2025-05-28,AMC,0.75,0.81
2025-08-27,AMC,1.01,1.05
2025-11-19,AMC,1.26,1.3
2026-02-25,AMC,1.54,1.62
2026-05-20,AMC,1.77,1.87
2026-08-26,AMC,2.08,
