earnings_date,time_of_day,eps_estimate,eps_actual
2020-09-10,AMC,0.86,0.93
2020-12-10,AMC,1.0,1.06
2021-03-10,AMC,1.11,1.16
2021-06-15,AMC,1.33,1.54
2021-09-13,AMC,0.97,1.03
2021-12-09,AMC,1.11,1.21
2022-03-10,AMC,1.18,1.13
2022-06-13,AMC,1.38,1.54
2022-09-12,AMC,1.08,1.03
2022-12-12,AMC,1.17,1.21
2023-03-09,AMC,1.2,1.22
2023-06-12,AMC,1.58,1.67
2023-09-11,AMC,1.15,1.19
2023-12-11,AMC,1.33,1.34
2024-03-11,AMC,1.38,1.41
2024-06-11,AMC,1.65,1.63
2024-09-09,AMC,1.33,1.39
2024-12-09,AMC,1.48,1.47
2025-03-10,AMC,1.49,1.47
2025-06-11,AMC,1.64,1.7
2025-09-09,AMC,1.48,1.47
2025-12-10,AMC,1.64,2.26
2026-03-10,AMC,1.69,1.79
2026-06-10,AMC,1.96,2.11
2026-09-09,AMC,1.74,
