earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-24,AMC,0.23,0.25
2020-11-16,BMO,0.22,0.27
2021-02-22,AMC,0.24,0.26
2021-05-20,AMC,0.21,0.23
2021-08-23,AMC,0.24,0.27
2021-11-18,AMC,0.26,0.27
2022-02-22,AMC,0.27,0.29
2022-05-19,AMC,0.28,0.3
2022-08-22,AMC,0.38,0.4
2022-11-17,AMC,0.34,0.42
2023-02-21,AMC,0.39,0.53
2023-05-23,AMC,0.46,0.52
2023-08-18,AMC,0.64,0.72
2023-11-15,AMC,0.58,0.69
2024-02-20,AMC,0.65,0.73
2024-05-20,AMC,0.62,0.66
2024-08-19,AMC,0.71,0.76
2024-11-20,AMC,0.74,0.78
2025-02-13,AMC,0.78,0.81
2025-05-20,AMC,0.77,0.8
2025-08-18,AMC,0.89,0.95
2025-11-19,AMC,0.89,0.93
2026-02-17,AMC,0.94,1.03
2026-06-02,AMC,0.8,0.85
2026-08-18,AMC,0.98,
