earnings_date,time_of_day,eps_estimate,eps_actual
2021-06-08,AMC,-0.05,0.02
2021-09-07,AMC,-0.06,0.01
2021-12-08,AMC,-0.04,
2022-03-30,AMC,0.03,0.05
2022-06-01,AMC,-0.06,-0.03
2022-09-06,AMC,-0.11,-0.02
2022-12-01,AMC,-0.01,0.05
2023-03-15,AMC,0.07,0.15
2023-05-24,AMC,0.02,0.11
2023-09-05,AMC,0.03,0.09
2023-11-30,AMC,0.07,0.12
2024-03-13,AMC,0.16,0.22
2024-05-29,AMC,0.12,0.13
2024-09-05,AMC,0.03,0.04
2024-12-05,AMC,0.07,0.11
2025-03-12,AMC,0.19,0.26
2025-05-29,AMC,0.1,0.11
2025-09-04,AMC,0.08,0.15
2025-12-03,AMC,0.15,0.16
2026-03-11,AMC,0.25,0.3
2026-05-28,AMC,0.16,0.15
2026-09-03,AMC,0.15,
