earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-31,BMO,-0.13,-0.07
2020-10-28,AMC,0.03,0.13
2021-02-04,AMC,0.33,0.43
2021-04-27,AMC,0.07,0.11
2021-07-29,AMC,0.13,0.25
2021-11-04,AMC,0.23,0.28
2022-02-03,AMC,0.45,0.49
2022-04-27,AMC,0.04,0.1
2022-08-01,AMC,0.18,0.11
2022-10-27,AMC,0.06,0.11
2023-02-06,AMC,0.27,0.29
2023-04-27,AMC,0.02,0.08
2023-08-01,AMC,0.12,0.21
2023-10-30,AMC,0.2,0.28
2024-02-08,AMC,0.51,0.53
2024-04-30,AMC,0.13,0.2
2024-07-30,AMC,0.28,0.29
2024-11-07,AMC,0.34,0.4
2025-02-06,AMC,0.65,0.56
2025-05-08,AMC,0.26,0.23
2025-08-07,AMC,0.35,0.33
2025-11-04,AMC,0.42,0.38
2026-02-12,AMC,0.67,0.67
2026-05-04,AMC,0.22,0.27
2026-08-04,AMC,0.36,
