earnings_date,time_of_day,eps_estimate,eps_actual
2020-11-12,AMC,0.03,0.06
2021-02-16,BMO,0.02,0.06
2021-05-11,BMO,0.04,0.04
2021-08-12,BMO,0.03,0.04
2021-11-09,BMO,0.04,0.04
2022-02-17,BMO,0.04,0.02
2022-05-09,BMO,0.04,0.02
2022-08-08,BMO,0.03,-0.01
2022-11-07,BMO,0.02,0.01
2023-02-13,AMC,0.03,0.04
2023-05-08,AMC,0.04,0.05
2023-08-07,AMC,0.05,0.05
2023-11-02,BMO,0.06,0.07
2024-02-05,AMC,0.08,0.08
2024-05-06,AMC,0.08,0.08
2024-08-05,AMC,0.08,0.09
2024-11-04,AMC,0.09,0.1
2025-02-03,AMC,0.11,0.14
2025-05-05,AMC,0.13,0.13
2025-08-04,AMC,0.14,0.16
2025-11-03,AMC,0.17,0.21
2026-02-02,AMC,0.23,0.25
2026-05-04,AMC,0.28,0.33
2026-08-03,AMC,0.35,
