earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-29,AMC,0.87,1.07
2020-11-02,AMC,0.94,1.07
2021-02-03,AMC,1.0,1.08
2021-05-05,AMC,1.02,1.22
2021-07-28,AMC,1.12,1.15
2021-11-08,AMC,1.08,1.11
2022-02-01,AMC,1.12,1.11
2022-04-27,AMC,0.88,0.88
2022-08-02,AMC,0.87,0.93
2022-11-03,AMC,0.96,1.08
2023-02-09,AMC,1.2,1.24
2023-05-08,AMC,1.1,1.17
2023-08-02,AMC,1.16,1.16
2023-11-01,AMC,1.23,1.3
2024-02-07,AMC,1.36,1.48
2024-04-30,BMO,1.22,1.08
2024-07-30,BMO,0.99,1.19
2024-10-29,BMO,1.07,1.2
2025-02-04,BMO,1.12,1.19
2025-04-29,BMO,1.16,1.33
2025-07-29,BMO,1.3,1.4
2025-10-28,BMO,1.21,1.34
2026-02-03,BMO,1.29,1.23
2026-05-05,BMO,1.27,1.34
2026-07-28,BMO,1.28,
