earnings_date,time_of_day,eps_estimate,eps_actual
2020-10-25,AMC,0.52,0.61
2021-01-24,AMC,0.64,0.71
2021-04-26,AMC,0.85,0.93
2021-07-25,AMC,1.11,1.13
2021-10-25,AMC,1.1,1.05
2022-02-01,AMC,1.01,1.01
2022-05-03,AMC,1.02,0.95
2022-07-27,AMC,0.92,0.52
2022-10-28,AMC,0.5,0.63
2023-02-01,AMC,0.75,1.1
2023-04-27,AMC,0.95,0.98
2023-07-28,BMO,0.76,0.66
2023-10-25,AMC,0.71,0.75
2024-02-02,AMC,0.68,0.54
2024-04-24,AMC,0.71,0.89
2024-07-19,AMC,1.01,1.15
2024-10-22,BMO,1.05,1.09
2025-02-12,BMO,0.98,0.97
2025-04-24,AMC,1.09,1.15
2025-07-29,AMC,1.08,1.19
2025-10-27,AMC,1.24,1.33
2026-01-28,AMC,1.51,1.55
2026-04-27,AMC,1.81,1.92
2026-07-20,AMC,1.95,2.01
2026-10-27,AMC,1.83,
