earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-11,AMC,0.05,0.07
2020-11-03,AMC,0.02,0.06
2021-02-02,AMC,0.04,0.06
2021-05-04,AMC,0.05,0.05
2021-08-10,AMC,0.08,0.08
2021-11-02,AMC,0.04,0.06
2022-02-01,AMC,0.08,0.09
2022-05-03,AMC,0.12,0.16
2022-08-09,AMC,0.23,0.26
2022-11-01,AMC,0.28,0.34
2023-01-31,AMC,0.3,0.33
2023-05-02,AMC,0.17,0.16
2023-08-08,AMC,0.29,0.35
2023-11-01,AMC,0.32,0.34
2024-01-29,AMC,0.52,0.56
2024-04-30,AMC,0.56,0.67
2024-08-06,AMC,0.81,0.63
2025-02-25,AMC,0.59,0.6
2025-05-06,AMC,0.3,0.31
2025-08-05,AMC,0.44,0.41
2025-11-04,AMC,0.39,0.35
2026-02-03,AMC,0.49,0.69
2026-05-05,AMC,0.62,0.84
2026-08-04,AMC,0.71,
