earnings_date,time_of_day,eps_estimate,eps_actual
2020-12-03,BMO,-0.26,-1.01
2021-03-03,AMC,-0.17,-0.16
2021-05-26,AMC,-0.16,-0.11
2021-08-25,AMC,-0.15,-0.04
2021-12-01,AMC,-0.06,0.04
2022-03-02,AMC,0.03,0.12
2022-05-25,AMC,,-0.01
2022-08-24,AMC,-0.01,0.01
2022-11-30,AMC,0.05,0.11
2023-03-01,AMC,0.05,0.14
2023-05-24,AMC,0.05,0.15
2023-08-23,AMC,0.1,0.22
2023-11-29,AMC,0.16,0.25
2024-02-28,AMC,0.18,0.35
2024-05-22,AMC,0.18,0.14
2024-08-21,AMC,0.16,0.18
2024-11-20,AMC,0.15,0.2
2025-02-26,AMC,0.18,0.3
2025-05-21,AMC,0.21,0.24
2025-08-27,AMC,0.27,0.35
2025-12-03,AMC,0.31,0.35
2026-02-25,AMC,0.27,0.32
2026-05-27,AMC,0.32,0.39
2026-08-26,AMC,0.45,
