earnings_date,time_of_day,eps_estimate,eps_actual
2021-08-12,AMC,-0.05,-0.48
2021-11-10,AMC,-0.13,-0.12
2022-03-01,AMC,-0.12,-0.12
2022-05-10,AMC,-0.13,-0.11
2022-08-02,AMC,-0.1,-0.11
2022-11-01,BMO,-0.07,-0.08
2023-01-30,BMO,-0.07,-0.04
2023-05-01,BMO,-0.09,-0.04
2023-07-31,BMO,-0.07,-0.06
2023-10-30,BMO,-0.09,-0.03
2024-01-29,BMO,0.04,0.04
2024-04-29,BMO,,0.03
2024-07-30,BMO,0.01,0.02
2024-10-29,BMO,0.04,0.05
2025-01-27,BMO,0.04,0.05
2025-04-29,BMO,0.03,0.06
2025-07-29,BMO,0.06,0.09
2025-10-28,BMO,0.08,0.1
2026-01-30,BMO,0.11,0.12
2026-04-27,AMC,0.12,0.12
2026-07-29,BMO,0.11,
