earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-23,BMO,0.79,0.83
2020-10-22,BMO,0.76,0.76
2021-01-27,BMO,0.73,0.75
2021-04-22,BMO,0.78,0.86
2021-07-22,BMO,0.8,0.89
2021-10-21,BMO,0.79,0.87
2022-01-26,BMO,0.75,0.78
2022-04-21,BMO,0.75,0.77
2022-07-21,BMO,0.61,0.65
2022-10-20,BMO,0.61,0.68
2023-01-25,BMO,0.57,0.61
2023-04-20,BMO,0.59,0.6
2023-07-26,BMO,0.6,0.63
2023-10-19,BMO,0.62,0.64
2024-01-24,BMO,0.56,0.54
2024-04-24,BMO,0.53,0.55
2024-07-24,BMO,0.57,0.57
2024-10-23,BMO,0.57,0.6
2025-01-27,BMO,0.51,0.54
2025-04-23,BMO,0.51,0.51
2025-07-23,BMO,0.53,0.54
2025-10-22,BMO,0.54,0.54
2026-01-28,BMO,0.47,0.52
2026-04-22,BMO,0.55,0.57
2026-07-22,BMO,0.59,
