earnings_date,time_of_day,eps_estimate,eps_actual
2020-07-22,AMC,-0.01,0.15
2020-10-21,AMC,0.2,0.25
2021-01-27,AMC,0.35,0.27
2021-04-26,AMC,0.26,0.31
2021-07-26,AMC,0.32,0.48
2021-10-20,AMC,0.54,0.62
2022-01-26,AMC,0.79,0.85
2022-04-20,AMC,0.75,1.07
2022-07-20,AMC,0.6,0.76
2022-10-19,AMC,1.0,1.05
2023-01-25,AMC,1.11,1.19
2023-04-19,AMC,0.85,0.85
2023-07-19,AMC,0.82,0.91
2023-10-18,AMC,0.73,0.66
2024-01-24,AMC,0.74,0.71
2024-04-23,AMC,0.49,0.45
2024-07-23,AMC,0.62,0.52
2024-10-23,AMC,0.6,0.72
2025-01-29,AMC,0.77,0.73
2025-04-22,AMC,0.41,0.27
2025-07-23,AMC,0.4,0.4
2025-10-22,AMC,0.56,0.5
2026-01-28,AMC,0.45,0.5
2026-04-22,AMC,0.35,0.41
2026-07-22,AMC,0.48,
