earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-06,AMC,0.03,0.09
2020-11-05,AMC,0.05,0.13
2021-02-18,AMC,0.19,0.37
2021-05-10,BMO,0.08,0.14
2021-08-09,BMO,0.13,0.18
2021-11-08,BMO,0.15,0.18
2022-02-16,BMO,0.28,0.42
2022-05-10,AMC,0.14,0.21
2022-08-09,AMC,0.2,0.2
2022-11-09,BMO,0.23,0.26
2023-02-15,BMO,0.36,0.38
2023-05-10,AMC,0.12,0.23
2023-08-09,AMC,0.26,0.28
2023-11-09,AMC,0.29,0.33
2024-02-15,AMC,0.43,0.41
2024-05-08,AMC,0.22,0.26
2024-08-08,AMC,0.36,0.39
2024-11-07,AMC,0.39,0.41
2025-02-12,AMC,0.57,0.59
2025-05-08,AMC,0.25,0.33
2025-08-07,AMC,0.41,0.41
2025-11-06,AMC,0.44,0.45
2026-02-25,AMC,0.58,0.59
2026-05-07,AMC,0.32,0.28
2026-08-06,AMC,0.4,
