earnings_date,time_of_day,eps_estimate,eps_actual
2020-10-14,BMO,3.08,3.51
2021-01-20,BMO,2.41,2.52
2021-04-15,BMO,4.38,5.31
2021-07-15,BMO,4.46,4.7
2021-10-14,BMO,4.42,4.52
2022-01-19,BMO,4.31,4.48
2022-04-14,BMO,5.35,5.49
2022-07-15,BMO,5.21,5.57
2022-10-14,BMO,5.44,5.79
2023-01-13,BMO,5.17,5.34
2023-04-14,BMO,6.08,6.26
2023-07-14,BMO,5.98,6.14
2023-10-13,BMO,6.35,6.56
2024-01-12,BMO,5.99,6.16
2024-04-16,BMO,6.62,6.91
2024-07-16,BMO,6.63,6.8
2024-10-15,BMO,7.03,7.15
2025-01-16,BMO,6.74,6.81
2025-04-17,BMO,7.29,7.2
2025-07-29,BMO,4.45,4.08
2025-10-28,BMO,2.81,2.92
2026-01-27,BMO,2.11,2.11
2026-04-21,BMO,6.6,7.23
2026-07-16,BMO,4.92,6.38
2026-10-27,BMO,3.74,
