earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-05,BMO,0.51,0.34
2020-11-04,BMO,1.05,0.83
2021-02-26,BMO,0.19,0.32
2021-05-04,BMO,-2.04,-2.89
2021-08-05,BMO,0.59,0.07
2021-11-05,BMO,1.15,0.27
2022-02-25,BMO,1.98,1.45
2022-05-06,BMO,0.15,0.14
2022-08-05,BMO,0.37,-3.27
2022-11-04,BMO,1.93,1.51
2023-03-01,BMO,4.34,-0.73
2023-05-09,BMO,0.4,-0.17
2023-08-09,BMO,0.82,1.17
2023-11-07,BMO,1.06,1.25
2024-02-29,BMO,-0.91,0.34
2024-05-10,BMO,0.97,0.24
2024-08-09,BMO,-0.94,0.8
2024-11-08,BMO,1.26,5.25
2025-02-28,BMO,1.45,1.14
2025-05-08,BMO,0.61,-0.93
2025-08-08,BMO,1.05,0.71
2025-11-07,BMO,1.4,1.38
2026-02-27,BMO,2.3,0.54
2026-05-08,BMO,1.5,1.35
2026-08-07,BMO,2.14,
