earnings_date,time_of_day,eps_estimate,eps_actual
2020-08-04,AMC,-4.91,-6.14
2020-11-05,AMC,-3.89,-7.04
2021-02-04,AMC,-2.4,-2.45
2021-05-10,AMC,-2.03,-2.41
2021-08-04,AMC,-1.58,-1.12
2021-11-09,AMC,-1.29,-1.24
2022-02-15,AMC,-1.18,-1.37
2022-05-10,AMC,-1.15,-1.21
2022-08-09,AMC,-1.02,-0.82
2022-11-09,AMC,-1.01,-1.2
2023-02-08,AMC,-1.16,-1.23
2023-05-09,AMC,-0.03,0.29
2023-08-09,AMC,0.72,0.91
2023-11-09,AMC,0.8,0.99
2024-02-07,AMC,1.16,1.91
2024-05-07,AMC,1.39,1.59
2024-08-06,AMC,1.19,1.12
2024-11-04,AMC,1.1,0.9
2025-02-13,AMC,1.27,2.42
2025-05-06,AMC,1.24,1.07
2025-08-07,AMC,1.2,1.09
2025-11-06,AMC,1.15,0.86
2026-02-12,AMC,1.48,1.17
2026-05-07,AMC,1.18,1.25
2026-08-04,AMC,1.0,
