earnings_date,time_of_day,eps_estimate,eps_actual
2021-08-10,AMC,,-0.02
2021-11-09,AMC,0.06,0.01
2022-02-23,AMC,0.05,0.11
2022-05-10,AMC,0.04,
2022-08-03,AMC,0.03,0.02
2022-11-01,AMC,0.04,0.04
2023-02-23,AMC,0.09,0.12
2023-05-04,AMC,0.05,0.05
2023-08-02,AMC,0.05,0.05
2023-11-01,AMC,0.09,0.09
2024-02-27,AMC,0.14,0.17
2024-05-06,AMC,0.08,0.08
2024-07-31,AMC,0.1,0.14
2024-11-11,AMC,0.17,0.16
2025-02-25,AMC,0.22,0.25
2025-05-01,AMC,0.11,0.11
2025-08-05,AMC,0.12,0.14
2025-11-05,BMO,0.18,0.27
2026-02-25,BMO,0.23,0.37
2026-05-01,BMO,0.12,0.16
2026-08-04,AMC,0.19,
