symbol,as_of_date,quantity,average_cost,source,notes
AMZN,2026-07-16,82,186.84,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
TSLA,2026-07-16,35,353.42,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
NOW,2026-07-16,45,97.43,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
PLTR,2026-07-16,57,102.43,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
HNST,2026-07-16,2500,3.752,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
ZETA,2026-07-16,270,19.68,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CRM,2026-07-16,53,194.75,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
UNH,2026-07-16,19,353.37,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CAKE,2026-07-16,95,56.20,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
IWM,2026-07-16,26,219.53,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
SOFI,2026-07-16,425,15.02,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
ELF,2026-07-16,90,69.20,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
VTI,2026-07-16,18,292.75,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
META,2026-07-16,8,623.11,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
PATH,2026-07-16,410,12.09,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
NKE,2026-07-16,110,61.92,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
VOO,2026-07-16,7,448.74,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
NVDA,2026-07-16,20,77.40,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CELH,2026-07-16,120,35.45,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
AMD,2026-07-16,7,223.72,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
MARA,2026-07-16,292,16.90,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
PYPL,2026-07-16,57,59.40,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
GOOG,2026-07-16,9,186.48,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
SNOW,2026-07-16,10,173.15,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
AAPL,2026-07-16,8,236.31,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
MSFT,2026-07-16,5,351.10,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
WYNN,2026-07-16,20,80.29,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
COIN,2026-07-16,12,290.53,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
PINS,2026-07-16,80,26.59,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
EL,2026-07-16,20,64.92,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
HOOD,2026-07-16,15,71.07,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
RZLV,2026-07-16,642,3.794,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
AXP,2026-07-16,4,311.46,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
HIMS,2026-07-16,37,42.70,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
MNDY,2026-07-16,15,62.54,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
PANW,2026-07-16,3,144.99,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
GEV,2026-07-16,1,1049.09,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
SPCX,2026-07-16,7,150.22,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
URNM,2026-07-16,18,39.04,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
T,2026-07-16,40,20.80,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CRWD,2026-07-16,4,110.19,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
RBRK,2026-07-16,10,48.37,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
BE,2026-07-16,3,101.61,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
TTD,2026-07-16,30,76.49,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
MA,2026-07-16,1,493.39,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
INFQ,2026-07-16,60,16.19,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
ORCL,2026-07-16,4,240.60,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
SMCI,2026-07-16,15,30.55,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CVX,2026-07-16,2,185.47,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
BBAI,2026-07-16,260,3.687,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
CORZ,2026-07-16,13,23.25,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
FUBO,2026-07-16,25,37.08,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
NFLX,2026-08-10,10,74.00,manual_broker_screenshot,acquisition date unknown; tax-lot dates unavailable
