horizon,rho,n,ic_combined,ic_consensus,comb_ci_lo,comb_ci_hi,cons_ci_lo,cons_ci_hi,comb_detect,cons_detect,mean_hhi,eff_models
1w,0.0,1259,0.0143055637986255,-0.0008677502299891,-0.0449194893594043,0.0674123064634908,-0.0565531907114862,0.0526390133366958,False,False,0.2754106678688184,3.751130096968538
1w,0.03,1259,0.0974358349913178,0.0800460260956453,0.0372807121904211,0.1490595875342172,0.0231212058702363,0.1342209314226087,True,True,0.2754106678688184,3.751130096968538
1w,0.05,1259,0.1520300411343723,0.133768892139214,0.0936145366203068,0.2025175790858171,0.0769697955175458,0.1863548492191673,True,True,0.2754106678688184,3.751130096968538
1w,0.07,1259,0.2054919350905895,0.1861777757493311,0.1489689407738279,0.2556695180272482,0.1301929099355862,0.2365025494988584,True,True,0.2754106678688184,3.751130096968538
1w,0.1,1259,0.284147731608368,0.2625754060506198,0.2295761786242093,0.3323419429167455,0.2083057824379134,0.3110125838756171,True,True,0.2754106678688184,3.751130096968538
1w,0.15,1259,0.3999865184465474,0.3784911375622958,0.350380408608928,0.4443092334931096,0.3301853857916092,0.4230912396300426,True,True,0.2754106678688184,3.751130096968538
1w,0.2,1259,0.4976627484173155,0.4762604636127039,0.453711787658197,0.5377022583285724,0.4314511140952528,0.5163787377862508,True,True,0.2754106678688184,3.751130096968538
2w,0.0,1259,0.0114147868107593,0.0129205416361422,-0.0454735954876122,0.059071566694213,-0.0440937536811946,0.0618295750346163,False,False,0.2605188536216,3.953345622118317
2w,0.03,1259,0.0865425714325401,0.0883379090639755,0.0304389370113801,0.1335291840154476,0.0306592572842631,0.1362245791990453,True,True,0.2605188536216,3.953345622118317
2w,0.05,1259,0.1358876427371498,0.1379638260215749,0.0814164581746229,0.1818962726451162,0.0814623879090309,0.1848044744806881,True,True,0.2605188536216,3.953345622118317
2w,0.07,1259,0.1844200565828375,0.1854428567038948,0.1309237929334411,0.2306711733058506,0.1285227760683304,0.2308290260912556,True,True,0.2605188536216,3.953345622118317
2w,0.1,1259,0.2540928931948882,0.2524139827882294,0.2005156095884031,0.2995723718291816,0.1976330801302767,0.2973377518794049,True,True,0.2605188536216,3.953345622118317
2w,0.15,1259,0.35932664030127,0.3560458122669028,0.306681288770365,0.4034915446546993,0.3014187367195123,0.4007482591387885,True,True,0.2605188536216,3.953345622118317
2w,0.2,1259,0.4505333541870476,0.4461582353139611,0.4010659247061854,0.493569497438114,0.3962932214725188,0.4886055282727478,True,True,0.2605188536216,3.953345622118317
1m,0.0,419,-0.020886399117777,0.0009153389005166,-0.1203511110168565,0.0706211041815865,-0.0968383735972606,0.0931983313132037,False,False,0.2496531498850099,4.128854542558678
1m,0.03,419,0.0458702081739388,0.0688556387714785,-0.0523548524707298,0.1383964114016871,-0.03191997676987,0.1624364801132795,False,False,0.2496531498850099,4.128854542558678
1m,0.05,419,0.093756086897652,0.1122698806030046,-0.0058326386589167,0.1869442427940104,0.012956331760188,0.204430148108392,False,True,0.2496531498850099,4.128854542558678
1m,0.07,419,0.1389600601634266,0.1569681417690462,0.041612479343292,0.2297307980300067,0.0591665415980828,0.2482760845485377,True,True,0.2496531498850099,4.128854542558678
1m,0.1,419,0.2061396711566288,0.2222436651402862,0.1105359895725427,0.2950462155605982,0.1288275554366498,0.3099535968365261,True,True,0.2496531498850099,4.128854542558678
1m,0.15,419,0.3077860087406627,0.3205395784971215,0.216919373178009,0.391163712872983,0.2316133317128795,0.4036017468274723,True,True,0.2496531498850099,4.128854542558678
1m,0.2,419,0.4014590609741973,0.4098421362584157,0.3181394607151422,0.4756741060722973,0.3282322221805327,0.4873873852563716,True,True,0.2496531498850099,4.128854542558678
3m,0.0,178,-0.0052355018304574,-0.0121509177820877,-0.1551831574512542,0.1535870262541106,-0.157305073042751,0.1488337416975111,False,False,0.2375897409540397,4.362425907517157
3m,0.03,178,0.0499048332374041,0.0416063340954476,-0.1001621931018193,0.2055971248892203,-0.1063838864424866,0.1985868081525306,False,False,0.2375897409540397,4.362425907517157
3m,0.05,178,0.0824689949985583,0.077830346760234,-0.0640040896706027,0.2355578985221223,-0.0683848460894386,0.2314790798028361,False,False,0.2375897409540397,4.362425907517157
3m,0.07,178,0.1162949541933486,0.1123542310110657,-0.0319265604104139,0.2646346692143767,-0.0333900220123009,0.2649937920842956,False,False,0.2375897409540397,4.362425907517157
3m,0.1,178,0.1646815876518332,0.1660710543030377,0.0212121341080017,0.3104546726401674,0.0240593172463026,0.3134499520708478,True,True,0.2375897409540397,4.362425907517157
3m,0.15,178,0.2484091883535883,0.2509008659164681,0.1125142430970849,0.3850529135711314,0.1131643453920455,0.3841964127077683,True,True,0.2375897409540397,4.362425907517157
3m,0.2,178,0.3325346914500988,0.3397267240397944,0.2065570910143212,0.4561204090947294,0.2101060292851906,0.4633373371818509,True,True,0.2375897409540397,4.362425907517157
6m,0.0,92,-0.1067305765762988,-0.115500208066828,-0.2758819721652821,0.0504261516884237,-0.2734379575543671,0.0446334170738097,False,False,0.245430847524131,4.268815805618247
6m,0.03,92,-0.0453893932154801,-0.0730699875159903,-0.2120909945594377,0.1169709322935129,-0.2322141392968882,0.0880696792688377,False,False,0.245430847524131,4.268815805618247
6m,0.05,92,-0.0009247414577007,-0.0247368339934959,-0.167711496077555,0.1594789852503737,-0.1826156312131066,0.1389585869950526,False,False,0.245430847524131,4.268815805618247
6m,0.07,92,0.0310404882634896,0.0103879290415054,-0.1363080467919177,0.1894371406994127,-0.1509486306120247,0.1744397608002096,False,False,0.245430847524131,4.268815805618247
6m,0.1,92,0.088852241727417,0.0669512815375368,-0.0714705701031086,0.2490864325015797,-0.0935021500238891,0.2297084752554598,False,False,0.245430847524131,4.268815805618247
6m,0.15,92,0.1802629348211396,0.1695667586270672,0.0226869904289259,0.3279287332583264,0.0140872801812493,0.320929211041413,True,True,0.245430847524131,4.268815805618247
6m,0.2,92,0.2582648767782008,0.2620409043971456,0.1023318897091688,0.4016071235916958,0.1068122620717291,0.3995850222708568,True,True,0.245430847524131,4.268815805618247
1y,0.0,45,-0.1928853754940711,-0.1529644268774703,-0.3901317523056653,-0.0130039525691699,-0.3718577075098814,0.0564591567852436,False,False,0.2689905359112606,4.134680948091938
1y,0.03,45,-0.084189723320158,-0.0549407114624505,-0.3030632411067193,0.1014986824769433,-0.2834486166007904,0.1488801054018445,False,False,0.2689905359112606,4.134680948091938
1y,0.05,45,-0.0206851119894598,0.0259552042160737,-0.2524472990777338,0.1759222661396574,-0.2159716732542819,0.235457839262187,False,False,0.2689905359112606,4.134680948091938
1y,0.07,45,0.0216073781291172,0.0898550724637681,-0.2195191040843214,0.2308530961791831,-0.162328722002635,0.29883069828722,False,False,0.2689905359112606,4.134680948091938
1y,0.1,45,0.1167325428194993,0.1504611330698287,-0.1197826086956521,0.3126515151515151,-0.1057345191040843,0.3521837944664031,False,False,0.2689905359112606,4.134680948091938
1y,0.15,45,0.2284584980237154,0.2823451910408431,-0.0073847167325428,0.4280764163372859,0.038659420289855,0.4749571805006586,False,True,0.2689905359112606,4.134680948091938
1y,0.2,45,0.3172595520421607,0.4027667984189723,0.0773320158102766,0.5121277997364954,0.1840579710144927,0.5721080368906455,True,True,0.2689905359112606,4.134680948091938
