horizon,rho,model,mean_weight,kappa
1w,0.0,earnings_behavior,0.0192823979992831,0.0206278917400487
1w,0.0,interest_rate_sensitivity,0.2320309534817412,0.0073787923929525
1w,0.0,macro_regime,0.1570145709495585,0.0097429695133119
1w,0.0,momentum_exhaustion,0.1186031632207621,0.0102264824920171
1w,0.0,relative_strength,0.1477890806897988,0.0081276520493489
1w,0.0,sector_rotation,0.3691123582623929,0.0046758405653312
1w,0.1,earnings_behavior,0.0192823979992831,0.0206278917400487
1w,0.1,interest_rate_sensitivity,0.2320309534817412,0.0073787923929525
1w,0.1,macro_regime,0.1570145709495585,0.0097429695133119
1w,0.1,momentum_exhaustion,0.1186031632207621,0.0102264824920171
1w,0.1,relative_strength,0.1477890806897988,0.0081276520493489
1w,0.1,sector_rotation,0.3691123582623929,0.0046758405653312
2w,0.0,earnings_behavior,0.0290712776084212,0.0263574414235198
2w,0.0,interest_rate_sensitivity,0.2295636846196172,0.0109110834531967
2w,0.0,macro_regime,0.1704603334321531,0.0136562754757831
2w,0.0,momentum_exhaustion,0.1288898305239497,0.0157193604646597
2w,0.0,relative_strength,0.153622070928766,0.0126687849309192
2w,0.0,sector_rotation,0.3422901369835978,0.0057775304166597
2w,0.1,earnings_behavior,0.0290712776084212,0.0263574414235198
2w,0.1,interest_rate_sensitivity,0.2295636846196172,0.0109110834531967
2w,0.1,macro_regime,0.1704603334321531,0.0136562754757831
2w,0.1,momentum_exhaustion,0.1288898305239497,0.0157193604646597
2w,0.1,relative_strength,0.153622070928766,0.0126687849309192
2w,0.1,sector_rotation,0.3422901369835978,0.0057775304166597
1m,0.0,earnings_behavior,0.0507061372963423,0.0293115386320395
1m,0.0,interest_rate_sensitivity,0.2274540106106164,0.0156664304931188
1m,0.0,macro_regime,0.17976044764172,0.0219843900824432
1m,0.0,momentum_exhaustion,0.1399052371646474,0.024048651904777
1m,0.0,relative_strength,0.1673878356886207,0.0187692470034546
1m,0.0,sector_rotation,0.3125867056637739,0.0099765219164375
1m,0.1,earnings_behavior,0.0507061372963423,0.0293115386320395
1m,0.1,interest_rate_sensitivity,0.2274540106106164,0.0156664304931188
1m,0.1,macro_regime,0.17976044764172,0.0219843900824432
1m,0.1,momentum_exhaustion,0.1399052371646474,0.024048651904777
1m,0.1,relative_strength,0.1673878356886207,0.0187692470034546
1m,0.1,sector_rotation,0.3125867056637739,0.0099765219164375
3m,0.0,earnings_behavior,0.0719819588037636,0.0344083350567393
3m,0.0,interest_rate_sensitivity,0.2334634597678895,0.0313783377927448
3m,0.0,macro_regime,0.2108498177675957,0.0471105277792581
3m,0.0,momentum_exhaustion,0.157989835480333,0.0501244011412628
3m,0.0,relative_strength,0.1740923583919415,0.050541875107084
3m,0.0,sector_rotation,0.2551626932542506,0.0255528741293447
3m,0.1,earnings_behavior,0.0719819588037636,0.0344083350567393
3m,0.1,interest_rate_sensitivity,0.2334634597678895,0.0313783377927448
3m,0.1,macro_regime,0.2108498177675957,0.0471105277792581
3m,0.1,momentum_exhaustion,0.157989835480333,0.0501244011412628
3m,0.1,relative_strength,0.1740923583919415,0.050541875107084
3m,0.1,sector_rotation,0.2551626932542506,0.0255528741293447
6m,0.0,earnings_behavior,0.1001477979515774,0.0504949018697555
6m,0.0,interest_rate_sensitivity,0.2218781350767045,0.0648333157590029
6m,0.0,macro_regime,0.2434826026618691,0.1076054576223297
6m,0.0,momentum_exhaustion,0.1711673210277165,0.0852047845580398
6m,0.0,relative_strength,0.1738579957355395,0.0922919662301813
6m,0.0,sector_rotation,0.2227589625082921,0.0436789723654498
6m,0.1,earnings_behavior,0.1001477979515774,0.0504949018697555
6m,0.1,interest_rate_sensitivity,0.2218781350767045,0.0648333157590029
6m,0.1,macro_regime,0.2434826026618691,0.1076054576223297
6m,0.1,momentum_exhaustion,0.1711673210277165,0.0852047845580398
6m,0.1,relative_strength,0.1738579957355395,0.0922919662301813
6m,0.1,sector_rotation,0.2227589625082921,0.0436789723654498
1y,0.0,earnings_behavior,0.0325520075263209,0.0122714340185024
1y,0.0,interest_rate_sensitivity,0.2321908446916901,0.2445613218313544
1y,0.0,macro_regime,0.2529012294188197,0.2880386090263007
1y,0.0,momentum_exhaustion,0.1523563967053116,0.1600986965040542
1y,0.0,relative_strength,0.1644589965971964,0.1596872583349157
1y,0.0,sector_rotation,0.2253450383190078,0.1448445533122486
1y,0.1,earnings_behavior,0.0325520075263209,0.0122714340185024
1y,0.1,interest_rate_sensitivity,0.2321908446916901,0.2445613218313544
1y,0.1,macro_regime,0.2529012294188197,0.2880386090263007
1y,0.1,momentum_exhaustion,0.1523563967053116,0.1600986965040542
1y,0.1,relative_strength,0.1644589965971964,0.1596872583349157
1y,0.1,sector_rotation,0.2253450383190078,0.1448445533122486
