horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,bias
1w,1264,0.0,0.025,0.0012343755923535577,0.028301662736874476,0.0277707634015517,0.0012343755923535577
1w,1264,0.01,0.11,0.009391954532916705,0.03190296787220817,0.02786775151452192,-0.0006080454670832954
1w,1264,0.02,0.095,0.017823618338856127,0.028532008023111944,0.027667310547138266,-0.002176381661143874
1w,1264,0.03,0.2,0.030518238012665483,0.029413713792230393,0.0277164223527923,0.000518238012665484
1w,1264,0.04,0.28,0.03906057937065269,0.02829513427622578,0.027760522845752127,-0.0009394206293473137
1w,1264,0.05,0.445,0.04840052194853021,0.028929926835033412,0.027789835605248284,-0.001599478051469795
1w,1264,0.07,0.735,0.0703802662942314,0.026576024399112885,0.027725876188259047,0.00038026629423139335
1w,1264,0.1,0.9,0.09313913268684029,0.030001541289500496,0.027384424156015476,-0.006860867313159713
1w,1264,0.12,0.995,0.11376516276553633,0.02667391827325122,0.027636908516267954,-0.006234837234463664
1w,1264,0.15,0.995,0.14478960564271767,0.02730154803865668,0.027352163200338196,-0.005210394357282322
1w,1264,0.2,1.0,0.1916222674489012,0.028359633700494918,0.026861119220391715,-0.008377732551098804
1w,1264,0.25,1.0,0.24015375008601197,0.0267690828354059,0.026362425331689573,-0.009846249913988026
1w,1264,0.3,1.0,0.28588608438715574,0.027193453218746038,0.02610307861132772,-0.014113915612844252
1w,1264,0.4,1.0,0.3850064035684953,0.022882128906225326,0.024318255023006517,-0.014993596431504719
2w,1264,0.0,0.035,0.0013967167732660435,0.026083219042582373,0.027834998632280852,0.0013967167732660435
2w,1264,0.01,0.08,0.01113970039551837,0.026902799408067567,0.027845050744033095,0.0011397003955183702
2w,1264,0.02,0.12,0.020216880936979584,0.027864743032560375,0.02790597335302227,0.00021688093697958336
2w,1264,0.03,0.17,0.029830129459445562,0.029590488117935874,0.027893840236852867,-0.00016987054055443707
2w,1264,0.04,0.28,0.03823619705540193,0.027325390737526625,0.027611819804609722,-0.0017638029445980682
2w,1264,0.05,0.425,0.04710088077440361,0.02932277275457993,0.02770954903010979,-0.0028991192255963943
2w,1264,0.07,0.655,0.06386766918092962,0.029049301159942493,0.027791834955917926,-0.006132330819070386
2w,1264,0.1,0.91,0.0967575849777415,0.02778508540617949,0.02760376367634933,-0.003242415022258499
2w,1264,0.12,0.975,0.11312279650418855,0.028446100522039813,0.027279472110722045,-0.006877203495811446
2w,1264,0.15,0.99,0.14127649391344282,0.02605650623550014,0.02744428219508074,-0.00872350608655717
2w,1264,0.2,1.0,0.1892360989215437,0.027346748285742524,0.026812247328992758,-0.010763901078456317
2w,1264,0.25,1.0,0.23923680115947105,0.026804482767298684,0.02645035186284956,-0.010763198840528954
2w,1264,0.3,1.0,0.28722473987545594,0.02599669884528641,0.02583700644638274,-0.012775260124544052
2w,1264,0.4,1.0,0.3837949103080899,0.025517615288258716,0.024302813479693427,-0.016205089691910146
1m,421,0.0,0.02,0.0018397518884173325,0.046669904198692644,0.047202031605595655,0.0018397518884173325
1m,421,0.01,0.025,0.006448032942167874,0.046836625421465876,0.04705063300935994,-0.003551967057832126
1m,421,0.02,0.05,0.018279779259814378,0.046678021215896655,0.0470741461322471,-0.0017202207401856226
1m,421,0.03,0.1,0.031827178253408965,0.04994566676282219,0.04721544559549019,0.0018271782534089662
