horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,bias
1w,1264,0.0,0.025,0.0012343755923535577,0.028301662736874476,0.027770694946465488,0.0012343755923535577
1w,1264,0.01,0.11,0.009391954532916705,0.03190296787220817,0.02786768476086809,-0.0006080454670832954
1w,1264,0.02,0.095,0.017823618338856127,0.028532008023111944,0.027667242873327794,-0.002176381661143874
1w,1264,0.03,0.2,0.030518238012665483,0.029413713792230393,0.027716355482110062,0.000518238012665484
1w,1264,0.04,0.28,0.03906057937065269,0.02829513427622578,0.02776045547765787,-0.0009394206293473137
1w,1264,0.05,0.445,0.04840052194853021,0.028929926835033412,0.027789768059882064,-0.001599478051469795
1w,1264,0.07,0.735,0.0703802662942314,0.026576024399112885,0.02772580827584081,0.00038026629423139335
1w,1264,0.1,0.9,0.09313913268684029,0.030001541289500496,0.02738435704203694,-0.006860867313159713
1w,1264,0.12,0.995,0.11376516276553633,0.02667391827325122,0.027636841197431358,-0.006234837234463664
1w,1264,0.15,0.995,0.14478960564271767,0.02730154803865668,0.027352097387651177,-0.005210394357282322
1w,1264,0.2,1.0,0.1916222674489012,0.028359633700494918,0.02686105403521223,-0.008377732551098804
1w,1264,0.25,1.0,0.24015375008601197,0.0267690828354059,0.026362360906523535,-0.009846249913988026
1w,1264,0.3,1.0,0.28588608438715574,0.027193453218746038,0.026103014749325845,-0.014113915612844252
1w,1264,0.4,1.0,0.3850064035684953,0.022882128906225326,0.024318195092616693,-0.014993596431504719
2w,1264,0.0,0.035,0.0013967167732660435,0.026083219042582373,0.027834930533003746,0.0013967167732660435
2w,1264,0.01,0.08,0.01113970039551837,0.026902799408067567,0.027844983171347395,0.0011397003955183702
2w,1264,0.02,0.12,0.020216880936979584,0.027864743032560375,0.027905904198465618,0.00021688093697958336
2w,1264,0.03,0.17,0.029830129459445562,0.029590488117935874,0.027893770107504167,-0.00016987054055443707
2w,1264,0.04,0.28,0.03823619705540193,0.027325390737526625,0.02761175198325229,-0.0017638029445980682
2w,1264,0.05,0.425,0.04710088077440361,0.02932277275457993,0.027709482100766455,-0.0028991192255963943
2w,1264,0.07,0.655,0.06386766918092962,0.029049301159942493,0.027791767373760767,-0.006132330819070386
2w,1264,0.1,0.91,0.0967575849777415,0.02778508540617949,0.027603696515653416,-0.003242415022258499
2w,1264,0.12,0.975,0.11312279650418855,0.028446100522039813,0.027279405369732918,-0.006877203495811446
2w,1264,0.15,0.99,0.14127649391344282,0.02605650623550014,0.02744421502587533,-0.00872350608655717
2w,1264,0.2,1.0,0.1892360989215437,0.027346748285742524,0.0268121821525424,-0.010763901078456317
2w,1264,0.25,1.0,0.23923680115947105,0.026804482767298684,0.026450286906282747,-0.010763198840528954
2w,1264,0.3,1.0,0.28722473987545594,0.02599669884528641,0.025836943636625424,-0.012775260124544052
2w,1264,0.4,1.0,0.3837949103080899,0.025517615288258716,0.02430275405165254,-0.016205089691910146
1m,421,0.0,0.02,0.0018397518884173325,0.046669904198692644,0.047201038737724875,0.0018397518884173325
1m,421,0.01,0.025,0.006448032942167874,0.046836625421465876,0.047049646585976684,-0.003551967057832126
1m,421,0.02,0.05,0.018279779259814378,0.046678021215896655,0.04707316571725644,-0.0017202207401856226
1m,421,0.03,0.1,0.031827178253408965,0.04994566676282219,0.04721446880399255,0.0018271782534089662
1m,421,0.04,0.175,0.03877103713793608,0.05061353274110433,0.04709900198263237,-0.0012289628620639204
1m,421,0.05,0.14,0.04632508760616066,0.04577984591436014,0.04712438224201182,-0.0036749123938393455
1m,421,0.07,0.29,0.06613664952871987,0.046864340051150116,0.04655813629598418,-0.0038633504712801414
1m,421,0.1,0.535,0.09523300826448938,0.046276503166985165,0.047150954338915696,-0.004766991735510623
1m,421,0.12,0.735,0.11924497561179576,0.045615575410973525,0.04637175503815974,-0.0007550243882042396
1m,421,0.15,0.845,0.1459623297529659,0.053294274031137484,0.04624155476382133,-0.004037670247034081
1m,421,0.2,0.99,0.1923722936169323,0.04646728572274066,0.04552233646916212,-0.0076277063830677005
1m,421,0.25,1.0,0.24280564137037103,0.047287311087627515,0.045068978655239525,-0.007194358629628972
1m,421,0.3,1.0,0.2853796454583905,0.04735857357242471,0.043742158053075075,-0.014620354541609482
1m,421,0.4,1.0,0.38780305298825857,0.04019560181151039,0.041138115738747504,-0.012196947011741455
3m,180,0.0,0.02,-0.007942436494953551,0.07272218595689256,0.06891166837456156,-0.007942436494953551
3m,180,0.01,0.06,0.011894122246571397,0.07334597641472841,0.06910882665859638,0.0018941222465713968
3m,180,0.02,0.03,0.008599524676687554,0.07518603385345658,0.06898141107467305,-0.011400475323312446
3m,180,0.03,0.095,0.03268923937981626,0.07615672346535263,0.0682563905464147,0.002689239379816258
3m,180,0.04,0.125,0.04187206395259114,0.0822793809628094,0.06828630694472791,0.0018720639525911381
3m,180,0.05,0.14,0.049280471619494434,0.07467393089863804,0.06884650064441067,-0.0007195283805055686
3m,180,0.07,0.17,0.06724421535644105,0.07100626602896998,0.06890350938340614,-0.0027557846435589534
3m,180,0.1,0.245,0.08875906663785921,0.07362484762822843,0.06860361544027803,-0.011240933362140798
3m,180,0.12,0.425,0.11921124108768791,0.0754741519895532,0.06840266914903102,-0.0007887589123120875
3m,180,0.15,0.535,0.13667393026533742,0.07162226266138821,0.06785926970515449,-0.013326069734662577
3m,180,0.2,0.835,0.19230290029527666,0.0654156940536705,0.06716119081073108,-0.007697099704723348
