horizon,arm,mean_hhi,eff_n_models,mean_top_share,frac_top_gt_90,sp_abseffect_weight,sp_neff_weight,max_weight
1w,A_original,0.27541066786881846,3.630941414645247,0.3845137241065975,0.0007942811755361397,-0.31761730275874406,0.7055269325914024,0.9121551309736856
1w,B_repaired,0.2693386389101176,3.712798149001247,0.3847698609514674,0.0,-0.32884511707809,0.8006454199781403,0.6795844389537915
1w,C_equal,0.20704262642308713,4.829923273657289,0.20704262642308707,0.0,-0.0035980845837683766,-0.012916081959527169,0.5
2w,A_original,0.26051885362160004,3.838493783073704,0.3580360638667908,0.0,-0.2728200015083582,0.7039538617226528,0.8999852405195647
2w,B_repaired,0.2662794420018137,3.755453265495384,0.3799271296071787,0.0,-0.2975736022328737,0.791546810227391,0.6530187635591731
2w,C_equal,0.20709557850145618,4.828688315008949,0.20709557850145618,0.0,-0.023836414874877056,-0.014635040580556513,0.5
1m,A_original,0.24965314988500995,4.005557312057145,0.33546305087807304,0.002386634844868735,-0.26413341851565414,0.6722118548992851,1.0
1m,B_repaired,0.25699532403412906,3.891121380353207,0.35876648707368586,0.002386634844868735,-0.2827491709346538,0.770505544677577,1.0
1m,C_equal,0.20883054892601435,4.788571428571427,0.20883054892601433,0.002386634844868735,-0.0009180106094795916,0.004053054172471869,1.0
3m,A_original,0.23758974095403973,4.208935941360548,0.30132311793971084,0.0,-0.16450267518496864,0.4949715411590686,0.7042977548118016
3m,B_repaired,0.2329408975809798,4.292934432659508,0.30104729401311026,0.0,-0.22133948450553986,0.6713274754804033,0.5215771543679439
3m,C_equal,0.20936329588014982,4.776386404293381,0.20936329588014982,0.0,0.03067581100556383,-0.14214937075610923,0.5
6m,A_original,0.24543084752413108,4.074467452188049,0.3177661029573808,0.0,-0.10141212073657824,0.19102107021198386,0.7764294075472578
6m,B_repaired,0.22416274434356084,4.461044599219216,0.2758781527396071,0.0,-0.18977439818736053,0.6031188261535192,0.5036570960870939
6m,C_equal,0.21032608695652172,4.75452196382429,0.21032608695652172,0.0,0.04738606322488127,-0.11388622190400736,0.5
1y,A_original,0.2689905359112606,3.717602913471639,0.34355506665095076,0.022222222222222223,-0.16764883978658013,0.11532078543498309,0.9740191610535992
1y,B_repaired,0.21448607530769095,4.662307324918181,0.24873769434789422,0.0,-0.07525677790853107,0.4486680205978883,0.40807225521475143
1y,C_equal,0.20888888888888885,4.787234042553193,0.2088888888888888,0.0,0.21967870098614103,-0.19342656217499513,0.3333333333333333
