horizon,rho,n,ic_combined,ic_consensus,loss,boot_lo,boot_hi,boot_mean,boot_sd
1w,0.0,1259,0.014305563798625518,-0.0008677502299891685,-0.015173314028614687,-0.03560744530515124,0.0052072915120151345,-0.014746716643422713,0.01027288708201816
1w,0.03,1259,0.09743583499131787,0.0800460260956453,-0.01738980889567257,-0.037780113999102,0.002860847127421905,-0.017038942405204146,0.010343882614864498
1w,0.05,1259,0.1520300411343723,0.13376889213921406,-0.01826114899515824,-0.03858746978601673,0.001406023199696975,-0.01789775335503972,0.010258146150507753
1w,0.07,1259,0.2054919350905895,0.18617777574933114,-0.019314159341258352,-0.038911090808605185,0.00038105682991911624,-0.018923039644125474,0.010255384952370545
1w,0.1,1259,0.284147731608368,0.2625754060506198,-0.021572325557748184,-0.04015384259450511,-0.001633402947938304,-0.021217911849281287,0.010000130933579857
1w,0.15,1259,0.3999865184465474,0.3784911375622958,-0.021495380884251625,-0.03978974624433205,-0.003118188455641143,-0.02122129169036612,0.009427277377152205
1w,0.2,1259,0.49766274841731556,0.47626046361270397,-0.021402284804611593,-0.037914075661821325,-0.005316236384427777,-0.02129890379095631,0.008454342049560274
2w,0.0,1259,0.011414786810759338,0.012920541636142252,0.0015057548253829146,-0.011665402395206628,0.01514980519395788,0.0015775707298998425,0.006978207168470503
2w,0.03,1259,0.08654257143254013,0.0883379090639755,0.0017953376314353703,-0.011494438769003083,0.015100354741643344,0.0018316051930078005,0.006976053275858952
2w,0.05,1259,0.13588764273714982,0.13796382602157495,0.0020761832844251316,-0.010788282425436103,0.015339844586912742,0.0020663880218381924,0.006893564354748466
2w,0.07,1259,0.1844200565828375,0.18544285670389488,0.0010228001210573767,-0.011419146818506743,0.014202380756952545,0.0010366203188657984,0.006781210197699823
2w,0.1,1259,0.25409289319488826,0.2524139827882294,-0.0016789104066588512,-0.013772869708603011,0.010965404451714773,-0.001696705383739911,0.006668153061309889
2w,0.15,1259,0.35932664030127004,0.3560458122669028,-0.0032808280343672447,-0.015197828567916901,0.008877959680534094,-0.003358120570427257,0.006391901949608254
2w,0.2,1259,0.4505333541870476,0.44615823531396115,-0.004375118873086448,-0.015845806025220135,0.007105310685766724,-0.004531566738710597,0.005986902996366154
1m,0.0,419,-0.02088639911777709,0.0009153389005166422,0.021801738018293732,-0.006441760726398337,0.05047123395383664,0.021033010602009475,0.014418267885599877
1m,0.03,419,0.045870208173938866,0.0688556387714785,0.022985430597539637,-0.0038421558343678616,0.051254459646621446,0.022333746331548117,0.014163170454715806
1m,0.05,419,0.09375608689765204,0.1122698806030046,0.018513793705352555,-0.009167524474018644,0.04468064688734201,0.017776501679453573,0.013725931573558305
1m,0.07,419,0.1389600601634266,0.1569681417690462,0.01800808160561959,-0.008464494932275373,0.044365282374954525,0.017184849028624938,0.013544031178344428
1m,0.1,419,0.20613967115662885,0.2222436651402862,0.01610399398365736,-0.010410581128455781,0.04329402509310812,0.015689793914162715,0.01336710329423261
1m,0.15,419,0.3077860087406627,0.32053957849712156,0.01275356975645886,-0.009850435646503975,0.036578784235485606,0.012105541462682525,0.01180636353956678
1m,0.2,419,0.4014590609741973,0.4098421362584157,0.008383075284218389,-0.012914659451840707,0.030467592011053885,0.007817973986822121,0.01103627119893505
3m,0.0,178,-0.005235501830457406,-0.012150917782087794,-0.0069154159516303885,-0.029643622018258823,0.015100555467487434,-0.0062298854487945355,0.011372718940406349
3m,0.03,178,0.0499048332374041,0.04160633409544763,-0.008298499141956468,-0.03229291786932841,0.015963439791728953,-0.007628299584330305,0.012322122123257973
3m,0.05,178,0.08246899499855839,0.07783034676023401,-0.004638648238324383,-0.026202298258698263,0.01909420817955398,-0.0039032182218018594,0.01184102587311669
3m,0.07,178,0.11629495419334863,0.11235423101106572,-0.003940723182282918,-0.024724739847371457,0.019912940232719688,-0.0026117376950812237,0.0118269338429934
3m,0.1,178,0.16468158765183324,0.16607105430303776,0.0013894666512045128,-0.01927220034704751,0.028233834683257995,0.002863865249396496,0.012465604298283266
3m,0.15,178,0.24840918835358838,0.25090086591646815,0.0024916775628797683,-0.020553094967811353,0.029503398660962694,0.003144841791241678,0.012664045545813175
3m,0.2,178,0.33253469145009884,0.3397267240397944,0.007192032589695585,-0.012842299790728868,0.030579916142602255,0.007617675377608308,0.011429899345402623
6m,0.0,92,-0.10673057657629889,-0.115500208066828,-0.008769631490529103,-0.06516498928841145,0.054875314026786665,-0.007110907325493581,0.0315790964029532
6m,0.03,92,-0.045389393215480175,-0.07306998751599032,-0.027680594300510147,-0.07725058952267931,0.028586455620116205,-0.026412049381193844,0.027113104077761463
6m,0.05,92,-0.0009247414577007846,-0.024736833993495987,-0.023812092535795203,-0.07615746805788882,0.03282755113049642,-0.02045412511751923,0.02724554947762872
6m,0.07,92,0.03104048826348967,0.01038792904150548,-0.02065255922198419,-0.07413536673704978,0.03875244671177349,-0.016540912103324448,0.02843918223333424
6m,0.1,92,0.08885224172741706,0.06695128153753681,-0.021900960189880248,-0.06976557804047284,0.0307831018910963,-0.019024382349768047,0.02548095646081293
6m,0.15,92,0.18026293482113961,0.1695667586270672,-0.010696176194072426,-0.06263119769431132,0.04497711264892191,-0.00868068677465592,0.0282204805034806
6m,0.2,92,0.2582648767782008,0.26204090439714567,0.003776027618944855,-0.04569995222169138,0.05732742012545654,0.005448206772189943,0.025559257222582617
1y,0.0,45,-0.19288537549407112,-0.15296442687747033,0.03992094861660078,-0.039667325428194976,0.11661396574440051,0.039325428194993406,0.042305697141394864
