horizon,n,target_ic,recovery_prob,mean_recovered_ic,sd_recovered_ic,mean_bootstrap_se,ci_lo_mean,ci_hi_mean,bias
1m,421,0.0,0.02,0.0018397518884173,0.0466699041986926,0.0472010387377248,-0.0899975845385378,0.0930579290812248,0.0018397518884173
1m,421,0.01,0.025,0.0064480329421678,0.0468366254214658,0.0470496465859766,-0.0847368354154035,0.0978259369316052,-0.0035519670578321
1m,421,0.02,0.05,0.0182797792598143,0.0466780212158966,0.0470731657172564,-0.0730917338622134,0.109198075780334,-0.0017202207401856
1m,421,0.03,0.1,0.0318271782534089,0.0499456667628221,0.0472144688039925,-0.0597333109861904,0.1232739078981436,0.0018271782534089
1m,421,0.04,0.175,0.038771037137936,0.0506135327411043,0.0470990019826323,-0.0528805607397353,0.1301371126874948,-0.0012289628620639
1m,421,0.05,0.14,0.0463250876061606,0.0457798459143601,0.0471243822420118,-0.0459838039366887,0.1368638696352785,-0.0036749123938393
1m,421,0.07,0.29,0.0661366495287198,0.0468643400511501,0.0465581362959841,-0.0243033265816148,0.1569834806301532,-0.0038633504712801
1m,421,0.1,0.535,0.0952330082644893,0.0462765031669851,0.0471509543389156,0.0028144030518625,0.1862703460785086,-0.0047669917355106
1m,421,0.12,0.69,0.1130864169040087,,0.0465733139442286,,,-0.006913583095991299
1m,421,0.15,0.895,0.1511342694072371,,0.0462112363903984,,,0.0011342694072370985
1m,421,0.2,0.97,0.1881024971977286,,0.0457654423631945,,,-0.01189750280227142
1m,421,0.25,1.0,0.2393621330713055,,0.0446797607834913,,,-0.010637866928694506
1m,421,0.3,1.0,0.2837197463240792,,0.0438742997651689,,,-0.016280253675920786
1m,421,0.4,1.0,0.3830047224504959,,0.0409063329633122,,,-0.01699527754950414
1w,1264,0.0,0.025,0.0012343755923535,0.0283016627368744,0.0277706949464654,-0.0524241851287363,0.0549741457310969,0.0012343755923535
1w,1264,0.01,0.11,0.0093919545329167,0.0319029678722081,0.027867684760868,-0.0446247284213063,0.064039527295325,-0.0006080454670832
1w,1264,0.02,0.095,0.0178236183388561,0.0285320080231119,0.0276672428733277,-0.0359815851302455,0.0712768957601538,-0.0021763816611438
1w,1264,0.03,0.2,0.0305182380126654,0.0294137137922303,0.02771635548211,-0.0234139454644925,0.084474057273956,0.0005182380126654
1w,1264,0.04,0.28,0.0390605793706526,0.0282951342762257,0.0277604554776578,-0.0150483391973488,0.0928809623687106,-0.0009394206293473
1w,1264,0.05,0.445,0.0484005219485302,0.0289299268350334,0.027789768059882,-0.0056481389461938,0.1022141074893455,-0.0015994780514697
1w,1264,0.07,0.735,0.0703802662942314,0.0265760243991128,0.0277258082758408,0.0164727435436953,0.1244300839414384,0.0003802662942313
1w,1264,0.1,0.9,0.0931391326868402,0.0300015412895004,0.0273843570420369,0.0397539254449477,0.1457890398711656,-0.0068608673131597
1y,47,0.0,0.095,-0.0001399167437557,0.1451745554526668,0.1007179560161256,-0.1966134655411656,0.1948373612395929,-0.0001399167437557
1y,47,0.01,0.125,0.0010210453283996,0.1653529294067153,0.1017472713317975,-0.1963117483811285,0.1968800300647547,-0.0089789546716003
1y,47,0.02,0.125,0.0272109158186864,0.1407653319216395,0.1019799290964862,-0.169122600601295,0.2235130955134134,0.0072109158186863
1y,47,0.03,0.125,0.0354839269195189,0.1326686286691058,0.1010682527073047,-0.1597843865633672,0.230307469935245,0.0054839269195189
1y,47,0.04,0.16,0.0343073543015726,0.1445597372025459,0.0993733656621642,-0.1579908504856614,0.2258185274051802,-0.0056926456984273
